id,question,cot,answer,unit
LD069,"Two charges, q1 = 4 × 10^-10 C and q2 = -4 × 10^-10 C, are placed at points A and B in the air, with the distance AB = a = 2 cm. Determine the electric field vector at point N such that A, B, and N form an equilateral triangle.","Step 1: Determine the geometry and distances.
Step 2: Set up a coordinate system and determine the coordinates of N.
Step 3: Calculate the magnitude of the electric field (E1) at N due to charge q1 at A.
Step 4: Determine the direction of E1. Since q1 > 0, E1 points away from A toward N.
Step 5: Calculate the magnitude and direction of E2 due to q2 at B. Since q2 < 0, E2 points from N toward B.
Step 6: Apply the principle of superposition by summing the components of the vectors E = E1 + E2.
Step 7: The magnitude of the electric field strength at point N is 9000 N/C.",9000,N/C
DT056,"Given two charges q1 = 4.10^-10 C and q2 = -4.10^-10 C, placed at points A and B respectively, in air. The distance between A and B is AB = a = 2 cm. Determine the net electric field vector at point N, such that A, B, and N form an equilateral triangle.","Step 1: Identify the given charges, distance, and Coulomb's constant for air.
Step 2: Recognize that points A, B, and N form an equilateral triangle, so the distances AN and BN are equal to AB.
Step 3: Calculate the magnitude of the electric field E1 produced by charge q1 at point N using E = k|q|/r².
Step 4: Determine the direction of E1. Since q1 is positive, E1 points from A towards N.
Step 5: The net electric field vector at point N has a magnitude of 9000 V/m, is parallel to AB, and points in the direction from A towards B.",9000,V/m
LD213,Three electric charges q1 = q2 = q3 = -2 × 10^-7 C are placed at the 3 vertices of an equilateral triangle with side length 10 cm. Calculate the net electric force acting on q3.,"Step 1: Identify the given charges and side length: q1 = q2 = q3 = -2 × 10^-7 C. The side length of the equilateral triangle is 10 cm.
Step 2: Convert the side length to meters: r = 10 cm = 0.1 m.
Step 3: State Coulomb's constant: k = 9 × 10^9 N·m²/C².
Step 4: Calculate the magnitude of the electrostatic force between q1 and q3 (F13) using Coulomb's Law, F = k * |q1 * q3| / r^2. F13 = (9 × 10^9 N·m²/C²) * |(-2 × 10^-7 C) * (-2 × 10^-7 C)| / (0.1 m)^2 = (9 × 10^9) * (4 × 10^-14) / 0.01 = 0.036 N.
Step 5: The magnitude of the net electric force acting on q3 is approximately 62.4 × 10^-3 N.",62.4*10^-3,N
TD035,A parallel-plate air capacitor has a plate area of 31.1 cm² and a plate separation of 1.53 mm. Calculate the capacitance of the capacitor.,"Step 1: Identify the given values: A = 31.1 cm^2, d = 1.53 mm.
Step 2: Convert the units to SI: A = 31.1 × 10^-4 m^2 and d = 1.53 × 10^-3 m.
Step 3: Recall the capacitance formula for a parallel-plate capacitor: C = κ * ε₀ * (A / d), where ε₀ is the permittivity of free space (approximately 8.854 × 10⁻¹² F/m for air).
Step 4: The capacitance of the capacitor is approximately 17.99 pF.",17.99,pF
DDT220,When does an induced electromotive force appear in a solenoid?,"Step 1: An induced electromotive force (EMF) appears in a solenoid when there is a change in the magnetic flux passing through its coils.
Step 2: Magnetic flux is a measure of the total magnetic field passing through a given area.
Step 3: This change in magnetic flux can be caused by a change in the strength or direction of the magnetic field passing through the solenoid.
Step 4: One common cause is a change in the current flowing through the solenoid itself, which alters its own magnetic field and thus the magnetic flux (self-induction).
Step 5: Therefore, an induced electromotive force appears when the current changes with time.",the current changes with time,—
QA8008297,"A tourist car travels from Ho Chi Minh City to Da Lat, a distance of 310 km. 48 minutes after the tourist car departed, a truck began traveling from Da Lat towards Ho Chi Minh City and met the tourist car after 3 hours. Calculate the speed of each vehicle, given that the tourist car travels 10 km/h faster than the truck.","Step 1: Define the variables and speeds. Let the speed of the truck be v (km/h). The speed of the passenger car is v + 10 (km/h).
Step 2: Determine the travel time of each vehicle. Convert 48 minutes = 0.8 hours. Truck travel time (t₂): 3 hours. Passenger car travel time (t₁): 3 + 0.8 = 3.8 hours (since it started earlier).
Step 3: Set up the total distance equation (s₁ + s₂ = 310). Distance of the passenger car plus distance of the truck equals 310 km: 3.8(v + 10) + 3v = 310 ⇒ 3.8v + 38 + 3v = 310.
Step 4: Solve the equation to find the speeds. Simplify: 6.8v = 272 ⇒ v = 272 / 6.8 = 40 (km/h). Truck speed: 40 km/h. Passenger car speed: 40 + 10 = 50 (km/h).",,
TD162,An air parallel-plate capacitor has a plate area of 29.8 cm² and a plate separation of 0.88 mm. Calculate the capacitance of the capacitor. Give your answer rounded to two decimal places.,"Step 1: Convert units to SI. The area A = 29.8 · 10⁻⁴ m² and the separation d = 0.88 · 10⁻³ m.
Step 2: State the formula C = (ε₀ · A) / d, where ε₀ ≈ 8.85 · 10⁻¹² F/m.
Step 3: Substitute the values into the formula.
C = [(8.85 · 10⁻¹² F/m) · (29.8 · 10⁻⁴ m²)] / (0.88 · 10⁻³ m) ≈ 29.97 pF",29.97,pF
LD296,"Three electric charges, q1 = q2 = q3 = 4.8 × 10^-6 C, are placed at the three vertices of an equilateral triangle with a side length of 10.3 cm. Calculate the resultant electric field strength at the position of q3. Give your answer rounded up two decimal places.","Step 1: Identify the given values for charges and distances. The charges are q1 = q2 = q3 = 4.8 × 10⁻⁶ C. The side length is r = 10.3 cm = 0.103 m. The Coulomb's constant is k = 9.0 × 10⁹ N·m²/C².
Step 2: Calculate the magnitude of the electric field at q3 due to q1 (E1) and q2 (E2) using the formula E = k * |q| / r², where E1 = E2 = (9.0 × 10⁹ N·m²/C²) * (4.8 × 10⁻⁶ C) / (0.103 m)² = 4.0720 × 10⁶ V/m.
Step 3: Determine the directions of the electric field vectors and the angle between them. Since both q1 and q2 are positive, the field vectors E1 and E2 at the position of q3 point outward along the sides of the triangle. In an equilateral triangle, the internal angle is 60°, so the angle θ between E1 and E2 is 60°.
Step 4: Calculate the resultant electric field strength (E_resultant) at q3 using vector addition for two vectors of equal magnitude at a 60° angle, where E_resultant = √(E1² + E2² + 2 * E1 * E2 * cos(60°)) = E1 * √3 = (4.0720 × 10⁶ V/m) * √3 = 7.05 × 10⁶ V/m.",7.05 × 10^6,V/m
CH196,"Consider a series RLC circuit with fixed components. When the angular frequency is ω0, the inductive reactance X_L = 90 Ω and the capacitive reactance X_C = 30 Ω. By what factor must the angular frequency be adjusted (relative to ω0) for the circuit to resonate?","Step 1: The inductive reactance at angular frequency ω0 is given by X_L = ω0 * L = 90 Ω.
Step 2: The capacitive reactance at angular frequency ω0 is given by X_C = 1 / (ω0 * C) = 30 Ω.
Step 3: For the circuit to resonate, the inductive reactance must equal the capacitive reactance (X_L_res = X_C_res) at the resonant angular frequency ω_res.
Step 4: From Step 1, L = 90 / ω0. From Step 2, C = 1 / (30 * ω0). Then, angular frequency must be multiplied by 0.577.",0.577,-
CH344,A circuit has L = 0.08 H and C = 100 µF. Calculate f0.,"Step 1: Identify the given values for inductance (L) and capacitance (C).
Step 2: Convert the capacitance from microfarads (µF) to farads (F).
Step 3: Recall the formula for the resonant frequency (f0) of an LC circuit.
Step 4: Substitute the values of L and C into the formula. Then, f0 = 56.27 Hz.",56.27,Hz
TD011,A parallel plate capacitor has circular plates with a radius R = 60 cm. The distance between the plates is d = 2 mm. The space between the plates is filled with air. What is the capacitance of the capacitor?,"Step 1: Identify the given values and the dielectric constant for air.
Step 2: Convert the given radius and distance to SI units (meters).
Step 3: Calculate the area (A) of one circular plate using the formula A = πR².
Step 4: Use the formula for the capacitance of a parallel plate capacitor: C = (ε₀ * A) / d, where ε₀ is the permittivity of free space (approximately 8.854 × 10⁻¹² F/m for air).
Step 5: The capacitance of the capacitor is approximately 5 nF.",5,nF
LD317,"Three identical charges, q = 4.8 × 10^-6 C, are placed at the three vertices of an isosceles right triangle with legs of length 9.7 cm. Calculate the resultant electric field strength at the right-angle vertex.Give your answer rounded two decimal places.","Step 1: Identify the given values and the geometric arrangement of the charges. Three identical positive charges (q = 4.8 × 10⁻⁶ C) are placed at the vertices of an isosceles right triangle. We need to find the net electric field at the right-angle vertex.
Step 2: Convert the given length from centimeters to meters. The leg length r = 9.7 cm = 0.097 m.
Step 3: Recognize that the electric field at the right-angle vertex is due to the other two charges, as a charge does not create a field at its own location. Since the triangle is isosceles, these two charges are equidistant (r = 0.097 m) from the right-angle vertex and produce fields of equal magnitude.
Step 4: Calculate the magnitude of the electric field (E) created by one of the charges at the right-angle vertex using Coulomb's law: E = k * |q| / r². Using the requested constant k = 9.0 × 10⁹ N·m²/C²:
E1 = E2 = (9.0 × 10⁹) * (4.8 × 10⁻⁶) / (0.097)² = 4.5914 × 10⁶ V/m.
Step 5: Determine the resultant field strength at the right-angle vertex. Since the two electric field vectors are perpendicular (pointing along the legs of the triangle), the net field is calculated using the Pythagorean theorem:
E_net = E1 * √2 = (4.5914 × 10⁶ V/m) * 1.4142 = 6.4932 × 10⁶ V/m ≈ 6.49 × 10⁶ V/m.",6.49 × 10^6,V/m
QA8004135,"Hân drove a car from Ho Chi Minh City (HCMC) to Da Lat. At the same time, Hiếu rode a motorbike from Da Lat to HCMC on the same road. Hân passed through Dầu Giây at 8:30 AM. At 10:00 AM, Hiếu met Hân exactly at the midpoint between Dầu Giây and Da Lat. Hiếu arrived at Dầu Giây at 12:30 PM. Both maintained constant speeds throughout their journeys. The difference in their speeds is 32 km/h. Calculate the distance from HCMC to Dầu Giây.","Step 1: Calculate the speed ratio between the car (v₁) and the motorcycle (v₂)
Let M be the midpoint between Dầu Giây and Đà Lạt. The car travels from Dầu Giây to M in 10:00 − 8:30 = 1.5 hours, while the motorcycle travels from M to Dầu Giây in 12:30 − 10:00 = 2.5 hours. Since they cover the same distance, the speed ratio is the inverse of the time ratio: v₁ / v₂ = 2.5 / 1.5 = 5/3.
Step 2: Calculate the actual speeds of both vehicles
Given that the speed difference v₁ − v₂ = 32 km/h and using the ratio 5:3, we apply the difference-ratio method: v₁ = 32 / (5 − 3) × 5 = 80 km/h, so v₂ = 80 − 32 = 48 km/h.
Step 3: Calculate the distance from Dầu Giây to Đà Lạt
The car covers half the distance (Dầu Giây to M) in 1.5 hours: half distance = 80 × 1.5 = 120 km. Therefore the total distance Dầu Giây – Đà Lạt is 120 × 2 = 240 km.
Step 4: Calculate the distance from TP.HCM to Dầu Giây
The motorcycle takes 240 / 48 = 5 hours to travel from Đà Lạt to Dầu Giây. Since it arrives at Dầu Giây at 12:30, it must have left Đà Lạt at 12:30 − 5 = 7:30 AM. This is also the departure time of the car from TP.HCM. The car takes 8:30 − 7:30 = 1 hour to reach Dầu Giây, so the distance TP.HCM – Dầu Giây is 80 × 1 = 80 km.",,
THCB089,The measured length is 12.0 ± 0.1 cm. Calculate the percentage relative error.,"Step 1: Identify the measured value L = 12.0 cm and absolute uncertainty delta L = 0.1 cm.
Step 2: Use the formula for percentage relative error: (delta L / L) * 100%.
Step 3: Substitute the values: (0.1 / 12.0) * 100%.
Step 4: Final calculation: 0.83%.",0.83,%
CH230,"Circuit AB consists of a resistor R1 = 25 Ω connected in series with a segment MB. Segment MB contains a resistor R2 and an inductor L. The circuit satisfies the condition LCω² = 1, and the voltage across segment AM (uAM) is 90 degrees out of phase with the voltage across segment MB (uMB). When an RMS voltage U = 100 V is applied across AB, the total power consumed by the circuit is 125.0 W. What is the value of R2?","Step 1: Analyze resonance and phase conditions
From LCω² = 1 we obtain Z_L = Z_C. Since u_AM is perpendicular to u_MB (90° phase difference), we have the relationship between the components through the tangent of the phase angles: Z_L · Z_C = R₁ · R₂ and therefore Z_L² = Z_C² = R₁ · R₂.
Step 2: Determine total circuit impedance
Because Z_L = Z_C the circuit experiences full electrical resonance. The reactive components completely cancel, so the total impedance of the entire AB circuit at this point is purely resistive and equals Z_AB = R₁ + R₂.
Step 3: Set up the power equation
Using the power formula under resonance conditions P = U² / (R₁ + R₂) and substituting the given values P = 125.0 W, U = 100 V, and R₁ = 25 Ω we get 125.0 = 100² / (25 + R₂).
Step 4: Calculate the final result
Solve the equation for R₂: 25 + R₂ = 10000 / 125 = 80 and therefore R₂ = 80 − 25 = 55 Ω.",55.0,Ω
DDT132,"A solenoid is 1 m long, has 2000 turns of wire, and a current of 3 A flows through it. Calculate the magnetic field inside the solenoid.","Step 1: Identify the given values from the question: Length (L) = 1 m, Number of turns (N) = 2000, Current (I) = 3 A, and the permeability of free space (μ₀) = 4π × 10⁻⁷ T·m/A.
Step 2: Calculate the number of turns per unit length (n) using the formula n = N / L.
Step 3: Substitute the values: n = 2000 turns / 1 m = 2000 turns/m.
Step 4: Use the formula for the magnetic field inside a solenoid: B = μ₀ * n * I.
Step 5: Substitute the numerical values into the formula: B = (4 * π * 10⁻⁷) * 2000 * 3.
Step 6: Perform the calculation: B = 24000 * π * 10⁻⁷ = 0.00754 T.",0.00754,T
QA8007554,"On a train moving straight at an average velocity of 36 km/h relative to the ground, a passenger walks towards the front of the train at 1 m/s relative to the train floor. Choose the positive direction as the direction of the train's motion.
a. The passenger moves at 1 m/s relative to the train floor – that is the relative velocity.
b. The passenger's motion due to being carried along by the train (drag motion) has a velocity of 10 m/s.
c. The motion of the passenger relative to the ground is the superposition of the two motions above.
d. The velocity of the passenger relative to the ground is 9 m/s.","Step 1: Determine the relative velocity (v_{1,2})
The passenger walks toward the front of the train at 1 m/s relative to the floor of the train, so v_{1,2} = 1 m/s. (Statement a is correct).
Step 2: Determine the velocity of the train relative to the ground (v_{2,3})
The train moves at 36 km/h relative to the ground. Converting units gives v_{2,3} = 36 / 3.6 = 10 m/s. (Statement b is correct).
Step 3: Determine the absolute velocity of the passenger (v_{1,3})
According to the principle of velocity addition, the passenger’s velocity relative to the ground is the vector sum of the two motions. Since both are in the same direction, v_{1,3} = v_{1,2} + v_{2,3}. (Statement c is correct).
Step 4: Calculate the absolute velocity
Substitute the values: v_{1,3} = 1 + 10 = 11 m/s. (Statement d is incorrect because it states 9 m/s).",,
QA5310,"The equation of simple harmonic motion is x = 2cos(5t - 3.14/6). Please state the amplitude, initial phase, and phase at time t of the oscillation.","Step 1: The given equation for simple harmonic motion is x = 2cos(5t - 3.14/6).
Step 2: The standard form of a simple harmonic motion equation is x = Acos(ωt + φ), where A is the amplitude, ω is the angular frequency, t is time, and φ is the initial phase.
Step 3: By comparing the given equation x = 2cos(5t - 3.14/6) with the standard form, the amplitude (A) is the coefficient of the cosine function.
Step 4: The amplitude of the oscillation is 2.",,
LD226,Three identical charges q = +5 × 10^-7 C are placed at the three vertices of an isosceles right triangle with legs of 15 cm. Calculate the net force acting on the charge at the right angle.,"Step 1: Identify the given charge q = +5 × 10^-7 C and the leg length r = 15 cm = 0.15 m.
Step 2: Recognize that the three charges are identical and form an isosceles right triangle, meaning the two forces on the charge at the right angle (from the other two charges) will be perpendicular to each other.
Step 3: State Coulomb's Law for the magnitude of the force F between two point charges: F = k * |q1 * q2| / r^2, where k is Coulomb's constant.
Step 4: Calculate the magnitude of each individual repulsive force F1 and F2 acting on the charge at the right angle, as they are equal: F1 = F2 = F = k * q^2 / r^2.
Step 5: The magnitude of the net electric force acting on the charge at the right-angle vertex is approximately 0.141 N.",0.141,N
TD088,An air-filled parallel plate capacitor has a capacitance of 27.63 pF and is charged to a potential difference of 91.9 V. Calculate the electric field energy stored in the capacitor.,"Step 1: Identify the given capacitance (C) and potential difference (V).
Step 2: Convert the capacitance from picofarads (pF) to farads (F).
Step 3: Use the formula for the electric field energy (U) stored in a capacitor: U = 0.5 * C * V^2.
Step 4: The electric field energy stored in the capacitor is approximately 116.68 nJ.",116.68,nJ
CH353,Calculate C for L = 0.15 H resonating at 40 Hz.,"Step 1: Identify the given values: inductance (L) = 0.15 H and resonant frequency (f) = 40 Hz. The quantity to be calculated is capacitance (C).
Step 2: Recall the formula for the resonant frequency of an LC circuit, which is f = 1 / (2π√(LC)).
Step 3: Rearrange the formula to solve for capacitance (C): C = 1 / ((2πf)²L).
Step 4: Substitute the given values into the rearranged formula: C = 1 / ((2 * π * 40 Hz)² * 0.15 H) = 105.54 µF.",105.54,µF
NL119,"An LC circuit is oscillating, and the current is zero. What form of energy is present at this moment?","Step 1: The problem describes an oscillating LC circuit where the current is zero.
Step 2: The energy stored in the inductor (magnetic energy) is given by (1/2) * L * I^2, where I is the current.
Step 3: Since the current (I) is zero at this moment, the magnetic energy stored in the inductor is also zero (1/2) * L * 0^2 = 0.
Step 4: In an ideal LC circuit, the total energy is conserved and oscillates between the inductor and the capacitor. Since the magnetic energy is 0, all the energy is stored in the electric field of the capacitor.",all the energy is stored in the electric field of the capacitor,—
CH351,What capacitance C is needed for a 0.05 H inductor to resonate at 100 Hz?,"Step 1: Identify the given values from the question: Inductance (L) = 0.05 H and Resonance frequency (f) = 100 Hz.
Step 2: Recall the formula for the resonance frequency (f) in an LC circuit: f = 1 / (2 * π * √(L * C)).
Step 3: Rearrange the formula to solve for the capacitance (C): C = 1 / ( (2 * π * f)² * L ).
Step 4: Substitute the given values into the rearranged formula: C = 1 / ( (2 * π * 100 Hz)² * 0.05 H ) = 50.66 µF.",50.66,µF
THCB118,Three temperature measurements: 36.6°C; 36.8°C; 36.7°C. Calculate the mean and the mean absolute error.,"Step 1: Calculate the mean temperature: (36.6 + 36.8 + 36.7) / 3 = 36.7 °C.
Step 2: Calculate individual deviations: |36.6 - 36.7| = 0.1; |36.8 - 36.7| = 0.1; |36.7 - 36.7| = 0.
Step 3: Calculate the mean absolute error: (0.1 + 0.1 + 0) / 3.
Step 4: Final calculation: ≈ 0.067 °C.",36.7; 0.067,°C; °C
THCB106,A student measures the volume of water as 500 ± 5 ml. Calculate the percentage relative error.,"Step 1: Identify measured volume V = 500 ml and absolute error ΔV = 5 ml.
Step 2: Calculate relative error: 5 / 500 = 0.01.
Step 3: Convert to percentage: 0.01 * 100%.
Step 4: Final calculation: 1.0%",1.0,%
NL344,A capacitor charged to 250 V has an electric field energy of 0.2 J. Calculate the capacitance (µF) of the capacitor.,"Step 1: Identify the given values: Voltage (U) = 250 V, Energy (W_C) = 0.2 J.
Step 2: Recall the formula for the energy stored in a capacitor: W_C = (1/2) * C * U^2.
Step 3: Rearrange the formula to solve for capacitance (C): C = (2 * W_C) / U^2.
Step 4: Substitute the given values into the formula: C = (2 * 0.2 J) / (250 V)^2 = 6.4 * 10^-6 F = 6.4 µF.",6.4,µF
LD028,"Two point charges, q1 = 8 × 10⁻⁸ C and q2 = -8 × 10⁻⁸ C, are placed at points A and B, respectively, in air (AB = 6 cm). Determine the force acting on a third charge q3 = 8 × 10⁻⁸ C if it is placed at point C such that CA = CB = 5 cm.","Step 1: Convert all given distances to meters.
Step 2: Identify the two electrostatic forces acting on charge q3: F13 due to q1, and F23 due to q2.
Step 3: Calculate the magnitude of force F13 using Coulomb's Law, F = k |q1 q3| / r².
Step 4: Calculate the magnitude of force F23 using Coulomb's Law, F = k |q2 q3| / r².",27.65 × 10^-3,N
TD015,"Two capacitors, C1 = 3μF and C2 = 6μF, are connected in series across a circuit segment AB with a total voltage UAB = 10 V. What is the voltage across capacitor C2?","Step 1: Identify the given values: C1 = 3 μF, C2 = 6 μF, and total voltage U_AB = 10 V. The capacitors are connected in series.
Step 2: Calculate the equivalent capacitance (C_eq) for two capacitors in series using the formula 1 / C_eq = 1 / C1 + 1 / C2 = 2 μF.
Step 3: Calculate the total charge (Q_total) stored in the series combination using Q_total = C_eq * U_AB = 20 μC.
Step 4: Note that for capacitors in series, the charge on each capacitor is equal to the total charge: Q2 = Q_total = 20 μC.
Step 5: Determine the voltage across capacitor C2 (U2) using the relation U2 = Q2 / C2.
Step 6: The voltage across capacitor C2 is 10 / 3 V.",10/3,V
LD206,"Two charges, q1 = +1 × 10^-7 C and q2 = -1 × 10^-7 C, are placed at points A and B, respectively, 12 cm apart. A test charge q = 10^-6 C is placed at point M, which lies on the perpendicular bisector of the line segment AB, 5 cm away from AB (or from the midpoint of AB). Calculate the net electric force acting on the test charge q.","Step 1: Identify the given charges and distances, and recall Coulomb's constant.
Step 2: Determine the distance 'r' from each source charge (q1, q2) to the test charge (q).
Step 3: Calculate the magnitudes of the forces F1 (due to q1 on q) and F2 (due to q2 on q).
Step 4: Determine the direction of each force and analyze components using symmetry.
Step 5: The magnitude of the net electric force acting on the test charge q is approximately 0.227 N.",0.227,N
LD258,"Three identical charges, q = +6 × 10^-7 C, are placed at the three vertices of a right isosceles triangle with legs of 20 cm. Calculate the net force acting on the charge at the right angle.","Step 1: The identical charge value is q = +6 × 10^-7 C. The length of the legs of the right isosceles triangle is L = 20 cm = 0.20 m.
Step 2: Let the charge at the right angle be Q_R, and the other two charges be Q_1 and Q_2, placed at the ends of the legs.
Step 3: The force exerted by Q_1 on Q_R, denoted F_1, and the force exerted by Q_2 on Q_R, denoted F_2, both act on Q_R.
Step 4: According to Coulomb's Law, the magnitude of the force between two point charges q_a and q_b separated by distance r is F = k * |q_a * q_b| / r^2, where k is Coulomb's constant.
Step 5: The magnitude of the net electric force acting on the charge at the right-angle vertex is approximately 0.115 N.",0.115,N
QA645,"In the laboratory, Young’s double-slit experiment uses light to produce interference patterns.","Step 1: The question asks about the apparatus used in Young's light interference experiment.
Step 2: Young's light interference experiment typically uses a monochromatic light source, a single slit, a double slit, and a screen.
Step 3: Therefore, the items used in Young's light interference experiment are a light source, a single slit, a double slit, and a screen.
Step 4: (missing)",,
